Year,GDP,CPI,Exchange Rates 
1960,,,7.142860006
1961,,,7.142860006
1962,,,7.142860006
1963,,,7.142860006
1964,,,7.142860006
1965,,0.098098251,7.142860006
1966,,0.107689332,7.142860006
1967,,0.120813969,7.142860006
1968,,0.139659602,7.142860006
1969,,0.162585651,7.142860006
1970,,0.168264581,7.142860006
1971,,0.176299214,7.142859999
1972,,0.189760381,7.142899999
1973,,0.209489403,7.020383688
1974,,0.250545961,7.134841101
1975,,0.315832618,7.366791666
1976,,0.337496683,8.376774999
1977,,0.376660264,8.289208333
1978,,0.401425676,7.712049999
1979,,0.453404792,8.216624999
1980,,0.590320798,8.196591666
1981,,0.741738224,8.283508333
1982,,0.95634041,9.282591666
1983,,1.215087178,11.14278333
1984,,1.654291878,15.29225
1985,,2.204875019,17.47233333
1986,,2.919964529,32.69801667
1987,,3.794475497,64.26035
1988,5100405772,4.97784788,99.29210833
1989,4420168102,6.264613506,143.3769167
1990,4258743263,8.509022282,195.0559167
1991,4956588279,10.95074172,219.1574167
1992,4601413264,13.34313349,297.7080833
1993,4257702197,16.71591261,405.2740167
1994,4510846968,22.41325797,509.630875
1995,5255221425,28.56071827,574.7617417
1996,6496195451,34.5519743,579.9766667
1997,7683852497,40.11161325,612.1225
1998,9345174219,45.24580109,664.6712083
1999,9697847264,48.81589088,744.759075
2000,10185786383,51.70772526,800.4085167
2001,10383560603,54.36936387,876.4116667
2002,10805599893,57.26063621,966.5827843
2003,11659129889,60.29749196,1038.419007
2004,12825801581,63.15306145,1089.334771
2005,16929976600,66.3325466,1128.934179
2006,18610460327,71.14230139,1251.899973
2007,21501741757,76.140414,1245.035464
2008,27368386358,83.96642556,1196.310709
2009,28573777052,94.16182029,1320.312061
2010,31409598704,100,1409.272211
2011,33877905104,112.6909695,1572.116225
2012,39087797980,130.7227573,1583.002787
2013,44413614439,141.0115842,1600.444317
2014,48219739331,149.6578707,
2015,45628320355,158.0210063,
2016,47388394818,166.198224,
2017,52090321003,175.0378356,
2018,,,
